,Unnamed: 0,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL,沿線,駅,徒歩
169,169,ＪＲ山手線 目黒駅 4階建 築6年,賃貸マンション,東京都目黒区下目黒３,ＪＲ山手線/五反田駅 歩17分,6.0,4階建,1階,15.3,0.5,15.3,30.6,1LDK,40.58,https://suumo.jp/chintai/jnc_000078075818/,ＪＲ山手線,五反田駅,17
170,170,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/西小山駅 歩5分,11.0,4階建,2階,11.0,0.5,11.0,11.0,ワンルーム,26.1,https://suumo.jp/chintai/jnc_000073290747/,東急目黒線,西小山駅,5
171,171,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/西小山駅 歩5分,11.0,4階建,3階,14.0,0.5,14.0,14.0,1LDK,40.53,https://suumo.jp/chintai/jnc_000086298089/,東急目黒線,西小山駅,5
172,172,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/西小山駅 歩5分,11.0,4階建,3階,15.3,0.5,15.3,15.3,2DK,40.12,https://suumo.jp/chintai/jnc_000068739592/,東急目黒線,西小山駅,5
173,173,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩9分,11.0,4階建,2階,11.0,0.5,11.0,11.0,ワンルーム,26.1,https://suumo.jp/chintai/jnc_000073290747/,東急目黒線,武蔵小山駅,9
174,174,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩9分,11.0,4階建,3階,14.0,0.5,14.0,14.0,1LDK,40.53,https://suumo.jp/chintai/jnc_000086298089/,東急目黒線,武蔵小山駅,9
175,175,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩9分,11.0,4階建,3階,15.3,0.5,15.3,15.3,2DK,40.12,https://suumo.jp/chintai/jnc_000068739592/,東急目黒線,武蔵小山駅,9
176,176,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/洗足駅 歩16分,11.0,4階建,2階,11.0,0.5,11.0,11.0,ワンルーム,26.1,https://suumo.jp/chintai/jnc_000073290747/,東急目黒線,洗足駅,16
177,177,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/洗足駅 歩16分,11.0,4階建,3階,14.0,0.5,14.0,14.0,1LDK,40.53,https://suumo.jp/chintai/jnc_000086298089/,東急目黒線,洗足駅,16
178,178,東急目黒線 西小山駅 4階建 築11年,賃貸マンション,東京都目黒区目黒本町５,東急目黒線/洗足駅 歩16分,11.0,4階建,3階,15.3,0.5,15.3,15.3,2DK,40.12,https://suumo.jp/chintai/jnc_000068739592/,東急目黒線,洗足駅,16
179,179,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩8分,4.0,4階建,4階,11.9,1.0,0.0,0.0,ワンルーム,24.4,https://suumo.jp/chintai/jnc_000076002819/,ＪＲ山手線,目黒駅,8
180,180,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩8分,4.0,4階建,4階,18.3,0.0,0.0,0.0,2DK,40.75,https://suumo.jp/chintai/jnc_000086717111/,ＪＲ山手線,目黒駅,8
181,181,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩8分,4.0,4階建,4階,18.3,1.2,0.0,0.0,1LDK,40.75,https://suumo.jp/chintai/jnc_000085963153/,ＪＲ山手線,目黒駅,8
182,182,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩8分,4.0,4階建,1階,19.7,1.2,0.0,0.0,1SLDK,45.66,https://suumo.jp/chintai/jnc_000086509846/,ＪＲ山手線,目黒駅,8
183,183,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩8分,4.0,4階建,1階,20.2,1.2,0.0,0.0,2LDK,45.66,https://suumo.jp/chintai/jnc_000076540745/,ＪＲ山手線,目黒駅,8
184,184,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩11分,4.0,4階建,4階,11.9,1.0,0.0,0.0,ワンルーム,24.4,https://suumo.jp/chintai/jnc_000076002819/,東急目黒線,不動前駅,11
185,185,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩11分,4.0,4階建,4階,18.3,0.0,0.0,0.0,2DK,40.75,https://suumo.jp/chintai/jnc_000086717111/,東急目黒線,不動前駅,11
186,186,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩11分,4.0,4階建,4階,18.3,1.2,0.0,0.0,1LDK,40.75,https://suumo.jp/chintai/jnc_000085963153/,東急目黒線,不動前駅,11
187,187,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩11分,4.0,4階建,1階,19.7,1.2,0.0,0.0,1SLDK,45.66,https://suumo.jp/chintai/jnc_000086509846/,東急目黒線,不動前駅,11
188,188,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩11分,4.0,4階建,1階,20.2,1.2,0.0,0.0,2LDK,45.66,https://suumo.jp/chintai/jnc_000076540745/,東急目黒線,不動前駅,11
189,189,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/五反田駅 歩20分,4.0,4階建,4階,11.9,1.0,0.0,0.0,ワンルーム,24.4,https://suumo.jp/chintai/jnc_000076002819/,ＪＲ山手線,五反田駅,20
190,190,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/五反田駅 歩20分,4.0,4階建,4階,18.3,0.0,0.0,0.0,2DK,40.75,https://suumo.jp/chintai/jnc_000086717111/,ＪＲ山手線,五反田駅,20
191,191,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/五反田駅 歩20分,4.0,4階建,4階,18.3,1.2,0.0,0.0,1LDK,40.75,https://suumo.jp/chintai/jnc_000085963153/,ＪＲ山手線,五反田駅,20
192,192,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/五反田駅 歩20分,4.0,4階建,1階,19.7,1.2,0.0,0.0,1SLDK,45.66,https://suumo.jp/chintai/jnc_000086509846/,ＪＲ山手線,五反田駅,20
193,193,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/五反田駅 歩20分,4.0,4階建,1階,20.2,1.2,0.0,0.0,2LDK,45.66,https://suumo.jp/chintai/jnc_000076540745/,ＪＲ山手線,五反田駅,20
194,194,パークサイド碑文谷,賃貸マンション,東京都目黒区碑文谷２,東急東横線/学芸大学駅 歩11分,35.0,地下1地上6階建,2階,23.8,1.2,23.8,23.8,3LDK,78.58,https://suumo.jp/chintai/jnc_000086700033/,東急東横線,学芸大学駅,11
195,195,パークサイド碑文谷,賃貸マンション,東京都目黒区碑文谷２,東急東横線/都立大学駅 歩15分,35.0,地下1地上6階建,2階,23.8,1.2,23.8,23.8,3LDK,78.58,https://suumo.jp/chintai/jnc_000086700033/,東急東横線,都立大学駅,15
196,196,パークサイド碑文谷,賃貸マンション,東京都目黒区碑文谷２,東急目黒線/西小山駅 歩21分,35.0,地下1地上6階建,2階,23.8,1.2,23.8,23.8,3LDK,78.58,https://suumo.jp/chintai/jnc_000086700033/,東急目黒線,西小山駅,21
197,197,東急東横線 学芸大学駅 地下1地上6階建 築35年,賃貸マンション,東京都目黒区碑文谷２,東急東横線/学芸大学駅 歩11分,35.0,地下1地上6階建,2階,23.8,1.2,23.8,23.8,3LDK,78.58,https://suumo.jp/chintai/jnc_000086708978/,東急東横線,学芸大学駅,11
198,198,東急東横線 学芸大学駅 地下1地上6階建 築35年,賃貸マンション,東京都目黒区碑文谷２,東急東横線/都立大学駅 歩17分,35.0,地下1地上6階建,2階,23.8,1.2,23.8,23.8,3LDK,78.58,https://suumo.jp/chintai/jnc_000086708978/,東急東横線,都立大学駅,17
199,199,東急東横線 学芸大学駅 地下1地上6階建 築35年,賃貸マンション,東京都目黒区碑文谷２,東急目黒線/西小山駅 歩22分,35.0,地下1地上6階建,2階,23.8,1.2,23.8,23.8,3LDK,78.58,https://suumo.jp/chintai/jnc_000086708978/,東急目黒線,西小山駅,22
200,200,Ｃａｓａ　Ｇｒａｃｅ　Ｊｉｙｕｇａｏｋａ,賃貸アパート,東京都目黒区自由が丘２,東急東横線/自由が丘駅 歩4分,3.0,2階建,1階,15.7,0.2,15.7,15.7,1LDK,40.16,https://suumo.jp/chintai/jnc_000070054942/,東急東横線,自由が丘駅,4
201,201,Ｃａｓａ　Ｇｒａｃｅ　Ｊｉｙｕｇａｏｋａ,賃貸アパート,東京都目黒区自由が丘２,東急大井町線/九品仏駅 歩10分,3.0,2階建,1階,15.7,0.2,15.7,15.7,1LDK,40.16,https://suumo.jp/chintai/jnc_000070054942/,東急大井町線,九品仏駅,10
202,202,Ｃａｓａ　Ｇｒａｃｅ　Ｊｉｙｕｇａｏｋａ,賃貸アパート,東京都目黒区自由が丘２,東急目黒線/奥沢駅 歩12分,3.0,2階建,1階,15.7,0.2,15.7,15.7,1LDK,40.16,https://suumo.jp/chintai/jnc_000070054942/,東急目黒線,奥沢駅,12
203,203,ラコサ都立大,賃貸マンション,東京都目黒区大岡山１,東急東横線/都立大学駅 歩11分,16.0,地下2地上3階建,2階,15.0,1.0,15.0,22.5,1LDK,42.64,https://suumo.jp/chintai/jnc_000086731733/,東急東横線,都立大学駅,11
204,204,ラコサ都立大,賃貸マンション,東京都目黒区大岡山１,東急大井町線/大岡山駅 歩11分,16.0,地下2地上3階建,2階,15.0,1.0,15.0,22.5,1LDK,42.64,https://suumo.jp/chintai/jnc_000086731733/,東急大井町線,大岡山駅,11
205,205,ラコサ都立大,賃貸マンション,東京都目黒区大岡山１,東急東横線/自由が丘駅 歩16分,16.0,地下2地上3階建,2階,15.0,1.0,15.0,22.5,1LDK,42.64,https://suumo.jp/chintai/jnc_000086731733/,東急東横線,自由が丘駅,16
206,206,東急東横線 学芸大学駅 3階建 築9年,賃貸マンション,東京都目黒区目黒本町１,東急東横線/学芸大学駅 歩13分,9.0,3階建,1階,11.3,1.2,11.3,11.3,1LDK,29.92,https://suumo.jp/chintai/jnc_000086007304/,東急東横線,学芸大学駅,13
207,207,東急東横線 学芸大学駅 3階建 築9年,賃貸マンション,東京都目黒区目黒本町１,東急目黒線/武蔵小山駅 歩14分,9.0,3階建,1階,11.3,1.2,11.3,11.3,1LDK,29.92,https://suumo.jp/chintai/jnc_000086007304/,東急目黒線,武蔵小山駅,14
208,208,東急東横線 学芸大学駅 3階建 築9年,賃貸マンション,東京都目黒区目黒本町１,東急目黒線/西小山駅 歩16分,9.0,3階建,1階,11.3,1.2,11.3,11.3,1LDK,29.92,https://suumo.jp/chintai/jnc_000086007304/,東急目黒線,西小山駅,16
209,209,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,2階,19.4,0.0,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086086908/,ＪＲ山手線,目黒駅,9
210,210,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,2階,19.4,0.8,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086185817/,ＪＲ山手線,目黒駅,9
211,211,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,2階,20.4,0.0,40.8,20.4,1LDK,46.31,https://suumo.jp/chintai/jnc_000084608082/,ＪＲ山手線,目黒駅,9
212,212,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,3階,21.4,0.0,42.8,21.4,1LDK,49.56,https://suumo.jp/chintai/jnc_000084129788/,ＪＲ山手線,目黒駅,9
213,213,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,2階,21.7,0.0,43.4,21.7,1LDK,52.25,https://suumo.jp/chintai/jnc_000084285411/,ＪＲ山手線,目黒駅,9
214,214,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,4階,21.8,0.0,43.6,21.8,1LDK,55.02,https://suumo.jp/chintai/jnc_000086292823/,ＪＲ山手線,目黒駅,9
215,215,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,4階,21.9,0.0,43.8,21.9,1LDK,52.25,https://suumo.jp/chintai/jnc_000084608083/,ＪＲ山手線,目黒駅,9
216,216,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,10階,22.2,0.0,44.4,22.2,1LDK,50.35,https://suumo.jp/chintai/jnc_000085347346/,ＪＲ山手線,目黒駅,9
217,217,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,13階,22.5,0.0,45.0,22.5,1LDK,50.35,https://suumo.jp/chintai/jnc_000086613957/,ＪＲ山手線,目黒駅,9
218,218,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,4階,23.0,0.0,46.0,23.0,1LDK,55.02,https://suumo.jp/chintai/jnc_000083031247/,ＪＲ山手線,目黒駅,9
219,219,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,16階,49.8,0.0,99.6,49.8,4LDK,118.0,https://suumo.jp/chintai/jnc_000086292822/,ＪＲ山手線,目黒駅,9
222,222,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,ＪＲ山手線/目黒駅 歩9分,20.0,地下2地上18階建,16階,51.7,0.0,103.4,51.7,4LDK,118.0,https://suumo.jp/chintai/jnc_000083991802/,ＪＲ山手線,目黒駅,9
223,223,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,2階,19.4,0.0,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086086908/,東急目黒線,不動前駅,10
224,224,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,2階,19.4,0.8,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086185817/,東急目黒線,不動前駅,10
225,225,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,2階,20.4,0.0,40.8,20.4,1LDK,46.31,https://suumo.jp/chintai/jnc_000084608082/,東急目黒線,不動前駅,10
226,226,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,3階,21.4,0.0,42.8,21.4,1LDK,49.56,https://suumo.jp/chintai/jnc_000084129788/,東急目黒線,不動前駅,10
227,227,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,2階,21.7,0.0,43.4,21.7,1LDK,52.25,https://suumo.jp/chintai/jnc_000084285411/,東急目黒線,不動前駅,10
228,228,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,4階,21.8,0.0,43.6,21.8,1LDK,55.02,https://suumo.jp/chintai/jnc_000086292823/,東急目黒線,不動前駅,10
229,229,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,4階,21.9,0.0,43.8,21.9,1LDK,52.25,https://suumo.jp/chintai/jnc_000084608083/,東急目黒線,不動前駅,10
230,230,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,10階,22.2,0.0,44.4,22.2,1LDK,50.35,https://suumo.jp/chintai/jnc_000085347346/,東急目黒線,不動前駅,10
231,231,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,13階,22.5,0.0,45.0,22.5,1LDK,50.35,https://suumo.jp/chintai/jnc_000086613957/,東急目黒線,不動前駅,10
232,232,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,4階,23.0,0.0,46.0,23.0,1LDK,55.02,https://suumo.jp/chintai/jnc_000083031247/,東急目黒線,不動前駅,10
233,233,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,16階,49.8,0.0,99.6,49.8,4LDK,118.0,https://suumo.jp/chintai/jnc_000086292822/,東急目黒線,不動前駅,10
236,236,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/不動前駅 歩10分,20.0,地下2地上18階建,16階,51.7,0.0,103.4,51.7,4LDK,118.0,https://suumo.jp/chintai/jnc_000083991802/,東急目黒線,不動前駅,10
237,237,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,2階,19.4,0.0,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086086908/,東急目黒線,武蔵小山駅,21
238,238,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,2階,19.4,0.8,38.8,19.4,1LDK,42.33,https://suumo.jp/chintai/jnc_000086185817/,東急目黒線,武蔵小山駅,21
239,239,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,2階,20.4,0.0,40.8,20.4,1LDK,46.31,https://suumo.jp/chintai/jnc_000084608082/,東急目黒線,武蔵小山駅,21
240,240,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,3階,21.4,0.0,42.8,21.4,1LDK,49.56,https://suumo.jp/chintai/jnc_000084129788/,東急目黒線,武蔵小山駅,21
241,241,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,2階,21.7,0.0,43.4,21.7,1LDK,52.25,https://suumo.jp/chintai/jnc_000084285411/,東急目黒線,武蔵小山駅,21
242,242,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,4階,21.8,0.0,43.6,21.8,1LDK,55.02,https://suumo.jp/chintai/jnc_000086292823/,東急目黒線,武蔵小山駅,21
243,243,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,4階,21.9,0.0,43.8,21.9,1LDK,52.25,https://suumo.jp/chintai/jnc_000084608083/,東急目黒線,武蔵小山駅,21
244,244,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,10階,22.2,0.0,44.4,22.2,1LDK,50.35,https://suumo.jp/chintai/jnc_000085347346/,東急目黒線,武蔵小山駅,21
245,245,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,13階,22.5,0.0,45.0,22.5,1LDK,50.35,https://suumo.jp/chintai/jnc_000086613957/,東急目黒線,武蔵小山駅,21
246,246,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,4階,23.0,0.0,46.0,23.0,1LDK,55.02,https://suumo.jp/chintai/jnc_000083031247/,東急目黒線,武蔵小山駅,21
247,247,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,16階,49.8,0.0,99.6,49.8,4LDK,118.0,https://suumo.jp/chintai/jnc_000086292822/,東急目黒線,武蔵小山駅,21
250,250,トレステージ目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,20.0,地下2地上18階建,16階,51.7,0.0,103.4,51.7,4LDK,118.0,https://suumo.jp/chintai/jnc_000083991802/,東急目黒線,武蔵小山駅,21
